precipitation_dmi	soil_ph	org_mat	soil_c	soil_p	ellenberg_l	ellenberg_f	ellenberg_n
765.5	5.269	0	8195.765	21.737	6.997	4.806	2.488
760.2	7.939	3.75	88.508	16.573	6.242	7.807	4.707
733.9	4.55	0	933.504	5.499	5.907	8.689	2.896
763.4	5.688	0	820.723	54.044	6.38	4.889	6.207
763.4	7.746	0	5603.031	15.509	6.811	7.149	3.304
760.2	5.677	0.625	8231.482	39.67	6.738	4.486	4.019
760.2	6.804	12.5	3431.617	14.528	5.596	7.518	5.01
765.5	4.474	30	7469.849	31.101	6.546	8.624	3.379
772.1	4.19	70	1927.588	2.216	3.692	5.492	4
870.4	6.267	0	3728.709	19.149	6.698	5.021	3.585
845	4.575	27.5	5860.386	8.537	6.779	6.093	2.426
870.4	4.95	26.25	1395.384	3.272	6.603	6.366	2.103
829.4	4.243	55	1607.686	3.009	5.192	6.952	3.073
858.5	5.07	0	6778.139	3.255	6.87	4.578	2.492
870.4	4.545	13.125	3478.048	6.894	7.281	5.964	2.289
829.4	5.929	0	9359.176	50.689	6.699	5.029	4.454
829.4	4.726	31.25	2687.181	4.33	4.891	5.871	3.26
829.4	4.835	10	7455.937	31.604	6.607	6.674	3.495
785.4	5.036	0	2681.632	11.82	4.055	5.244	4.859
807.7	4.654	6.25	1454.998	6.382	4.573	5.383	4.407
785.4	4.51	3.75	5980.178	21.309	4.26	5.652	4.902
708.4	4.483	35	3728.021	10.799	4.6	5.877	3.953
708.4	4.583	100	3560.514	12.376	5.945	7.346	4.423
799.9	5.767	0	3329.336	49.002	5.181	5.499	4.798
807.7	5.054	100	2792.159	8.993	6.494	7.919	4.53
807.7	4.308	0	1769.712	8.421	4.583	5.685	4.119
838.2	4.554	18.75	2459.552	1.708	7.131	5.016	2.406
986.7	4.289	100	4213.184	10.127	6.869	8.417	2.087
856.4	5.85	0	9005.76	58.495	6.552	4.504	6.055
974.8	4.598	17.5	3092.596	0.58	5.535	5.898	2.397
986.7	4.754	15	2847.575	13.214	6.29	7.568	4.169
986.7	5.006	100	2262.395	6.673	5.964	7.715	4.053
838.2	4.76	82.5	4899.819	14.46	5.711	7.722	4.724
826.9	5.251	20	6332.69	18.168	6.986	5.681	4.04
974.8	5.12	43.75	2965.824	4.074	4.546	5.333	3.767
848.1	5.839	0	8273.201	23.147	6.189	7.396	3.962
848.1	5.136	100	1364.461	5.269	6.813	7.85	3.229
903	6.028	51.25	3502.979	11.856	6.261	7.02	3.687
861.4	4.791	7.5	9170.125	22.174	5.036	5.633	3.486
861.7	5.009	0	8347.438	22.251	7.026	5.623	5.538
815.6	6.832	0	12213.216	35.338	7.029	4.561	3.142
861.4	4.319	37.5	2685.004	9.255	6.56	8.027	1.514
872.9	4.976	0	10474.123	37.62	6.018	6.51	4.287
900.7	4.963	0	7410.697	14.722	6.278	5.623	3.262
900.7	4.692	0	6042.392	8.832	6.327	6.699	2.419
867.9	4.531	3.125	5064.062	18.186	4.434	5.839	4.953
900.7	4.497	10	5966.878	5.967	4.813	5.59	3.951
904.1	4.545	10	4607.955	20.34	4.135	5.188	5.167
867.9	4.586	0	7358.922	37.489	4.444	5.738	5.297
867.9	4.276	12.5	5140.649	9.741	5.565	6.514	4.041
904.1	5.018	100	2427.05	6.814	5.59	7.428	5.938
900.7	4.325	0	4998.618	4.414	5.78	6.098	3.632
633.4	5.493	0	2331.063	56.3	6.702	4.942	3.891
664.3	6.737	0	217.961	115.225	6.449	4.845	6.326
670.5	7.572	0	4085.448	37.395	6.328	4.502	3.782
664.3	4.922	0	2513.301	63.438	4.187	5.536	5.49
664.3	4.776	0	6730.136	21.145	6.189	5.524	3.298
615.1	7.419	0	6323.769	45.687	6.643	4.152	4.167
615.1	6.585	13.75	4534.013	18.894	5.386	5.869	5.356
664.3	5.701	0	13262.126	56.195	6.496	6.868	4.615
664.3	4.532	100	16379.088	7.203	7.75	8.469	1.688
851	4.73	3.125	4411.679	2.275	6.628	5.427	2.756
851	4.249	90	4041.118	7.808	6.861	7.148	1.745
780.9	4.497	100	4957.842	20.84	6.655	7.836	3.964
851	4.089	0	2682.411	0.146	6.595	7.691	1.954
780.9	5.357	100	21270.622	50.396	6.612	7.854	3.961
829.8	4.703	1.875	4001.907	1.88	5.922	5.511	3.156
792.6	4.617	50	2183.6	3.965	6.059	5.689	2.726
792.6	4.567	8.75	2419.774	7.145	4.869	5.644	3.787
792.6	3.944	100	3087.252	9.065	5.703	7.379	4.326
751.4	8.127	0	559.273	44.278	5.171	5.711	5.614
