Taxon	action
Acanthobasidium	x
Achroomyces	x
Acrospermum	x
Actidium	x
Agaricus	i
Agrocybe	i
Aleurodiscus	x
Alnicola	i
Amanita	i
Amaurodon	i
Amphinema	i
Ampulloclitocybe	i
Amylocorticium	x
Amylostereum	x
Amyloxenasma	x
Annulohypoxylon	x
Anomoloma	i
Anomoporia	x
Antrodia	x
Antrodiella	x
Aphanobasidium	x
Apiospora	x
Arachnocrea	i
Arachnopeziza	x
Armillaria	i
Arrhenia	i
Arthrinium	x
Ascobolus	u
Ascocorticium	x
Ascocoryne	x
Ascodichaena	x
Ascotremella	x
Ascozonus	i
Aspropaxillus	i
Asterophora	i
Asterostroma	x
Athelia	x
Athelopsis	x
Aurantiporus	x
Auricularia	x
Auriculariales	x
Auriscalpium	i
Baeospora	i
Basidiodendron	x
Basidioradulum	x
Beauveria	i
Bertia	x
Bisporella	x
Bjerkandera	x
Boidinia	x
Bolbitius	i
Boletus	i
Botryobasidium	x
Botryohypochnus	x
Bovista	i
Brevicellicium	x
Buglossoporus	x
Bulbillomyces	x
Bulgaria	x
Byssocorticium	i
Cabalodontia	x
Caloboletus	i
Calocera	x
Calocybe	i
Calycellina	x
Calycina	x
Calyptella	x
Camaropella	x
Camarophyllopsis	i
Camarops	x
Cantharellus	i
capitoclavaria	x
Capitotricha	x
Capronia	x
Carcinomyces	x
Cejpia	x
Cellypha	x
Cephaloscypha	x
Ceraceomyces	x
Ceratellopsis	x
Ceratobasidium	i
Ceratostomella	x
Cercophora	i
Ceriporia	x
Ceriporiopsis	x
Cerocorticium	x
Chaetospermum	x
Chaetosphaerella	x
Chalara	x
Chalciporus	i
Cheilymenia	i
Chlorociboria	x
Chlorophyllum	i
Chondrostereum	x
Chromocyphella	x
Ciboria	i
Cinereomyces	x
Claussenomyces	x
Clavaria	i
Claviceps	i
Clavicorona	i
Clavulina	i
Clavulinopsis	i
Clitocella	i
Clitocybe	i
Clitopilus	i
Coccomyces	x
Colacogloea	x
Collybia	i
Colpoma	x
Coniophora	i
Conocybe	i
Coprinellus	i
Coprinopsis	i
Coprinus	i
Coprotus	i
Cordyceps	i
Corticium	x
Cortinarius	i
Cosmospora	x
Costantinella	x
Cotylidia	i
Craterellus	i
Crepidotus	x
Crinipellis	i
Cristinia	i
Crocicreas	x
Cryptodiscus	x
Cucurbitaria	x
Cudoniella	i
Cuphophyllus	i
Cyathus	i
Cylindrobasidium	x
Cymadothea	x
Cystoderma	i
Cystodermella	i
Cystolepiota	i
Dacrymyces	x
Dacryobolus	x
Daedalea	x
Daedaleopsis	x
Datronia	x
Deconica	a
Delicatula	i
Dematioscypha	x
Dendrothele	x
Denticularia	x
Dermoloma	i
Diatrype	x
Diatrypella	x
Diplonaevia	x
Discinella	i
Disciseda	i
Echinosphaeria	x
Efibula	x
Eichleriella	x
Elaphocordyceps	x
Elaphomyces	i
Endogone	i
Endoperplexa	x
Entocybe	i
Entoleuca	x
Entoloma	i
Eocronartium	i
Eonema	x
Episphaeria	x
Epithele	i
Eriopezia	x
Euepixylon	x
Eutypa	x
Eutypella	x
Exidia	x
Exidiopsis	x
Exobasidium	x
Farlowiella	x
Fayodia	i
Fibroporia	x
Fistulina	x
Flagelloscypha	x
Flammula	x
Flammulaster	a
Flammulina	x
Fomes	x
Fomitiporia	x
Fomitopsis	x
Fuscoporia	x
Galerina	a
Ganoderma	x
Geastrum	i
Geoglossum	i
Geopora	i
Gibellula	x
Gliophorus	i
Globulicium	x
Gloeocystidiellum	x
Gloeophyllum	x
Gloeoporus	x
Gloiocephala	x
Gloiothele	x
Gloioxanthomyces	i
Glomus	i
Gloniopsis	x
Glonium	x
Glutinoglossum	i
Glyphium	x
Godronia	x
Gorgoniceps	x
Gymnopilus	a
Gymnopus	a
Gymnosporangium	x
Gyrodon	i
Hamatocanthoscypha	x
Hapalopilus	x
Haplotrichum	x
Hauerslevia	x
Hebeloma	i
Helicogloea	x
Helminthosphaeria	x
Helvella	i
Hemimycena	a
Henningsomyces	x
Heterobasidion	i
Heterochaetella	x
Hirsutella	x
Hobsonia	x
Hodophilus	i
Hohenbuehelia	a
Homophron	i
Hortiboletus	i
Humaria	i
Hyalorbilia	x
Hyaloscypha	x
Hydnomerulius	i
Hydnum	i
Hydropisphaera	x
Hydropus	i
Hygrocybe	i
Hygrophoropsis	i
Hygrophorus	i
Hymenochaete	x
Hymenochaetopsis	x
Hymenogaster	u
Hymenopellis	i
