Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Andreiomycetaceae;Andreiomyces
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Arthonia
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Herpothallon
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Arthoniaceae;Sagenidiopsis
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Chrysotrichaceae;Chrysothrix
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Lecanographa
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Opegraphaceae;Combea
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Opegraphaceae;Hubbsia
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Opegraphaceae;Pentagenella
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Austroroccella
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Dendrographa
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Dirina
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Diromma
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Enterographa
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Lecanactis
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Roccella
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Roccellaria
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Roccellina
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Sigridea
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Simonyella
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Roccellaceae;Syncesia
Fungi;Ascomycota;Arthoniomycetes;Arthoniomycetes_ord_Incertae_sedis;Arthoniomycetes_fam_Incertae_sedis;Milospium
Fungi;Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces
Fungi;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca
Fungi;Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Sclerophora
Fungi;Ascomycota;Dothideomycetes;Abrothallales;Abrothallaceae;Abrothallus
Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermaceae;Oomyces
Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermales_fam_Incertae_sedis;Leptodiscella
Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermales_fam_Incertae_sedis;Paramycoleptodiscus
Fungi;Ascomycota;Dothideomycetes;Acrospermales;Acrospermales_fam_Incertae_sedis;Phaeodactylium
Fungi;Ascomycota;Dothideomycetes;Asterinales;Asterinaceae;Blastacervulus
Fungi;Ascomycota;Dothideomycetes;Asterinales;Asterinaceae;Lembosia
Fungi;Ascomycota;Dothideomycetes;Asterinales;Parmulariaceae;Parmularia
Fungi;Ascomycota;Dothideomycetes;Asterinales;Parmulariaceae;Rhagadolobiopsis
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Aplosporellaceae;Aplosporella
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Alanphillipsia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Bahusutrabeeja
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Barriopsis
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Botryobambusa
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Botryosphaeria
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Diplodia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Dothiorella
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Endomelanconiopsis
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Lasiodiplodia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Macrophoma
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Macrophomina
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Mucoharknessia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neodeightonia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neofusicoccum
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Neoscytalidium
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Oblongocollomyces
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Phaeobotryon
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Pseudofusicoccum
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Sphaeropsis
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Tiarosporella
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriales_fam_Incertae_sedis;Homortomyces
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Melanopsaceae;Melanops
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Guignardia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Neoplaconema
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Phyllostictaceae;Phyllosticta
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Planistromellaceae;Comminutispora
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Planistromellaceae;Kellermania
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Planistromellaceae;Microcyclus
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Planistromellaceae;Ramimonilia
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Saccharataceae;Neoseptorioides
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Saccharataceae;Saccharata
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Septorioideaceae;Septorioides
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Antennariella
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Capnodium
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Conidiocarpus
