kingdom	phylum	subphylum	class	subclass	order	family	genus
Protozoa	Amoebozoa	Mycetozoa	Myxogastrea	Incertae sedis	Liceida	Tubiferaceae	Apioperdon
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Tricholomataceae	Aspropaxillus
Fungi	Basidiomycota	Pucciniomycotina	Atractiellomycetes	Incertae sedis	Atractiellales	Phleogenaceae	Bourdotigloea
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Leotiales	Bulgariaceae	Bulgaria
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Russulales	Auriscalpiaceae	Clavicorona
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Morchellaceae	Costantinella
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Ophiocordycipitaceae	Elaphocordyceps
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Trechisporales	Hydnodontaceae	Fibriciellum
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Helotiaceae	Godronia
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Rhytismatales	Incertae sedis	Karstenia
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Corticiales	Corticiaceae	Kurtia
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Russulales	Stereaceae	Megalocystidium
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Polyporales	Fomitopsidaceae	Neoantrodia
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Porotheleaceae	Phloeomana
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Polyporales	Polyporaceae	Picipes
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales	Mycosphaerellaceae	Polythrincium
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Polyporales	Phanerochaetaceae	Pouzaroporia
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Pyronemataceae	Pseudombrophila
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Mycenaceae	Sarcomyxa
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae sedis	Trechisporales	Hydnodontaceae	Sphaerobasidium
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Helotiaceae	Velutarina
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Incertae sedis	Acrospermales	Acrospermaceae	Acrospermum
Fungi	Basidiomycota	Pucciniomycotina	Pucciniomycetes	Incertae_sedis	Platygloeales	Platygloeaceae	Achroomyces
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Incertae_sedis	Mytilinidiales	Mytilinidiaceae	Actidium
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Hypocreaceae	Arachnocrea
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Ascocorticiaceae	Ascocorticium
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Rhytismatales	Ascodichaenaceae	Ascodichaena
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Thelebolales	Thelebolaceae	Ascozonus
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Coronophorales	Chaetosphaerellaceae	Chaetosphaerella
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales	Mycosphaerellaceae	Cymadothea
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Hyaloscyphaceae	Dematioscypha
Fungi	Ascomycota	Pezizomycotina	Incertae_sedis	Incertae_sedis	Incertae_sedis	Incertae_sedis	Denticularia
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Dermateaceae	Diplonaevia
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Sordariales	Helminthosphaeriaceae	Echinosphaeria
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae_sedis	Auriculariales	Incertae_sedis	Endoperplexa
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Hygrophoraceae	Eonema
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Strophariaceae	Flammula
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae_sedis	Auriculariales	Incertae_sedis	Hauerslevia
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Sordariales	Helminthosphaeriaceae	Helminthosphaeria
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Incertae_sedis	Illosporiopsis
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae_sedis	Hymenochaetales	Schizoporaceae	Kneiffiella
Fungi	Basidiomycota	Pucciniomycotina	Microbotryomycetes	Incertae_sedis	Heterogastridiales	Heterogastridiaceae	Krieglsteinera
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Ascodesmidaceae	Lasiobolus
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Pyronemataceae	Leucoscypha
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Niaceae	Maireina
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Pezizaceae	Marcelleina
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales	Melanconidaceae	Melanamphora
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Incertae_sedis	Polyporales	Meruliaceae	Mycoaciella
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Dermateaceae	Niptera
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Boletales	Boletaceae	Octavianina
Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizomycetidae	Pezizales	Pyronemataceae	Octospora
Fungi	Ascomycota	Pezizomycotina	Leotiomycetes	Leotiomycetidae	Helotiales	Hyaloscyphaceae	Olla
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Tricholomataceae	Omphaliaster
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Bionectriaceae	Paranectria
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Strophariaceae	Phaeonematoloma
Fungi	Basidiomycota	Pucciniomycotina	Atractiellomycetes	Incertae_sedis	Atractiellales	Phleogenaceae	Phleogena
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Typhulaceae	Pistillina
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Incertae_sedis	Plicatura
Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Agaricomycetidae	Agaricales	Tricholomataceae	Pseudolasiobolus
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales	Diatrypaceae	Quaternaria
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Incertae_sedis	Patellariales	Patellariaceae	Rhizodiscina
Fungi	Ascomycota	Pezizomycotina	Dothideomycetes	Incertae_sedis	Incertae_sedis	Incertae_sedis	Rhopographus
Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Sordariales	Helminthosphaeriaceae	Ruzenia
Fungi	Basidiomycota	Pucciniomycotina	Atractiellomycetes	Incertae_sedis	Atractiellales	Phleogenaceae	Saccoblastia
