Taxon	action
Crepidotus_epibryus	i
Deconica_coprophila	i
Deconica_crobula	x
Deconica_horizontalis	x
Deconica_inquilina	i
Deconica_merdaria	i
Deconica_montana	i
Deconica_phillipsii	x
Deconica_subcoprophila	i
Deconica_subviscida	i
Flammulaster_carpophilus	i
Flammulaster_granulosus	i
Flammulaster_limulatus_var_limulatus	x
Flammulaster_subincarnatus	i
Galerina_aff_perplexa	i
Galerina_atkinsoniana	i
Galerina_calyptrata	i
Galerina_caulocystidiata	i
Galerina_cephalotricha	i
Galerina_cerina_var_cerina	i
Galerina_cerina_var_longicystis	i
Galerina_clavata	i
Galerina_embolus	i
Galerina_farinacea	i
Galerina_graminea	i
Galerina_hybrida	i
Galerina_hypnorum	i
Galerina_jaapii	i
Galerina_lacustris	i
Galerina_marginata	i
Galerina_mniophila	i
Galerina_nana	x
Galerina_paludosa	i
Galerina_perplexa	i
Galerina_pumila	i
Galerina_sideroides	i
Galerina_sphagnicola	i
Galerina_sphagnorum	i
Galerina_subclavata	i
Galerina_triscopa	x
Galerina_uncialis	i
Galerina_vittiformis_s_l_	i
Gymnopilus_fulgens	i
Gymnopilus_penetrans	i
Gymnopilus_spectabilis	x
Gymnopus_androsaceus	i
Gymnopus_aquosus	i
Gymnopus_brassicolens	i
Gymnopus_confluens	i
Gymnopus_dryophilus	i
Gymnopus_erythropus	i
Gymnopus_fagiphilus	i
Gymnopus_foetidus	x
Gymnopus_fuscopurpureus	i
Gymnopus_fusipes	x
Gymnopus_inodorus	i
Gymnopus_ocior	i
Gymnopus_peronatus	i
Gymnopus_quercophilus	i
Hemimycena_crispula	i
Hemimycena_cucullata	i
Hemimycena_delectabilis	x
Hemimycena_epichloe	x
Hemimycena_gracilis	x
Hemimycena_lactea	i
Hemimycena_mairei	i
Hemimycena_mauretanica	x
Hemimycena_nitriolens	x
Hemimycena_pseudogibba	x
Hemimycena_stiriispora	x
Hemimycena_subtilis	x
Hemimycena_tortuosa	x
Hohenbuehelia__pinacearum	x
Hohenbuehelia_atrocoerulea	x
Hohenbuehelia_cyphelliformis	x
Hohenbuehelia_fluxilis	x
Hohenbuehelia_mastrucata	x
Hohenbuehelia_petaloides	i
Hypholoma_elongatum	i
Hypholoma_fasciculare	x
Hypholoma_laeticolor	i
Hypholoma_lateritium	x
Hypholoma_marginatum	i
Hypholoma_subericaeum	i
Hypholoma_udum	i
Mycena_abramsii	i
Mycena_acicula	i
Mycena_adonis	i
Mycena_aetites	i
Mycena_albidolilacea	i
Mycena_amicta	i
Mycena_arcangeliana	x
Mycena_atropapillata	i
Mycena_aurantiomarginata	i
Mycena_betulae	i
Mycena_bulbosa	x
Mycena_capillaripes	i
Mycena_capillaris	i
Mycena_cf_erminia	i
Mycena_chlorantha	i
Mycena_cinerella	i
Mycena_citrinomarginata	i
Mycena_clavata	x
Mycena_clavicularis	i
Mycena_clavularis	x
Mycena_concolor	i
Mycena_cretata	i
Mycena_crocata	x
Mycena_diosma	i
Mycena_echinipes	i
Mycena_epipterygia	i
Mycena_erubescens	x
Mycena_fagetorum	i
Mycena_filopes	i
Mycena_flavescens	i
Mycena_flavoalba	i
Mycena_galericulata	x
Mycena_galopus_var_candida	i
Mycena_galopus_var_galopus	i
Mycena_galopus_var_nigra	i
Mycena_haematopus	x
Mycena_hiemalis	x
Mycena_inclinata	x
Mycena_juniperina	x
Mycena_leptocephala	i
Mycena_luteovariegata	i
Mycena_megaspora	i
Mycena_meliigena	x
Mycena_metata	i
Mycena_mirata	i
Mycena_mucor	i
Mycena_olida	x
Mycena_olivaceomarginata	i
Mycena_panicea_nom_prov_	i
Mycena_pearsoniana	i
Mycena_pelianthina	i
Mycena_pelliculosa	i
Mycena_picta	i
Mycena_polyadelpha	i
Mycena_polygramma	x
Mycena_pseudocorticola	i
Mycena_pterigena	x
Mycena_pura	i
Mycena_purpureofusca	x
Mycena_renati	x
Mycena_riparia	x
Mycena_rosea	i
Mycena_rubromarginata	x
Mycena_sanguinolenta	i
Mycena_scirpicola	i
Mycena_silvae_pristinae	x
Mycena_smithiana	i
Mycena_speirea	x
Mycena_stylobates	i
Mycena_tenerrima	i
Mycena_tenuispinosa	i
Mycena_terena	i
Mycena_tubarioides	x
Mycena_vitilis	i
Mycena_vulgaris	i
Mycena_zephirus	i
Peziza_badiofusca	i
Peziza_buxea	i
Peziza_depressa	i
Peziza_limnaea	i
Peziza_saniosa	i
Peziza_succosa	i
Peziza_succosella	i
Peziza_varia	x
Pholiota_conissans	i
Pholiota_flammans	x
Pholiota_gummosa	i
Pholiota_henningsii	i
Pholiota_lenta	i
Pholiota_pinicola	i
Pholiota_scamba	i
Pholiota_squarrosa	x
Pholiota_tuberculosa	x
Pluteus_cervinus	x
Pluteus_exiguus	x
Pluteus_hispidulus	x
Pluteus_leoninus	x
Pluteus_luctuosus	x
Pluteus_nanus	i
Pluteus_phlebophorus	x
Pluteus_plautus	x
Pluteus_podospileus	i
Pluteus_pouzarianus	x
Pluteus_romellii	i
Pluteus_salicinus	x
Pluteus_semibulbosus	x
Pluteus_umbrosus_var_umbrosus	x
Psathyrella_atomatoides	i
Psathyrella_candolleana	i
Psathyrella_cf_lutensis	i
Psathyrella_clivensis	i
Psathyrella_corrugis	i
Psathyrella_diminutiva_nom_prov_	i
Psathyrella_fagetophila	x
Psathyrella_fibrillosa	i
Psathyrella_flexispora	i
Psathyrella_hirta	i
Psathyrella_impexa	i
Psathyrella_microrrhiza	i
Psathyrella_obtusata	i
Psathyrella_olympiana	x
Psathyrella_orbicularis	i
Psathyrella_orbitarum	i
Psathyrella_panaeoloides	i
Psathyrella_pertinax	i
Psathyrella_piluliformis	x
Psathyrella_potteri	i
Psathyrella_pseudocorrugis	i
Psathyrella_purpureobadia	i
Psathyrella_romagnesii	i
Psathyrella_rubiginosa	i
Psathyrella_spadiceogrisea	i
Psathyrella_tenuicula	i
Psathyrella_typhae	i
Ramaria_corrugata	i
Ramaria_eumorpha	i
Ramaria_flaccida	i
Ramaria_gracilis	i
Ramaria_stricta	i
Scutellinia_barlae	i
Scutellinia_cf_nigrohirtula	i
Scutellinia_scutellata	x
Scutellinia_setosa	x
Scutellinia_subhirtella	i
Scutellinia_trechispora	i
Scutellinia_vitreola	i
Simocybe_centunculus_var_centunculus	x
Simocybe_haustellaris	x
Simocybe_laevigata	i
Simocybe_sumptuosa	x
Sistotrema_brinkmannii	x
Sistotrema_diademiferum	i
Sistotrema_efibulatum	x
Sistotrema_hispanicum	x
Sistotrema_muscicola	i
Sistotrema_oblongisporum	x
Sistotrema_octosporum	x
Sistotrema_porulosum	x
Sistotrema_sernanderi	x
Typhula_caricina	i
Typhula_crassipes	x
Typhula_erythropus	i
Typhula_gyrans	i
Typhula_neglecta	i
Typhula_phacorrhiza	i
Typhula_spathulata	x
Typhula_subhyalina	x
Typhula_trifolii	i
Tyromyces_chioneus	x
Xylaria_bulbosa	i
Xylaria_carpophila	i
Xylaria_hypoxylon	x
Xylaria_longipes	x
Xylaria_polymorpha	x
