"taxon_id","FullName","Author","MorphoGroup","RedlistCategory","DanishName","RankName","PresentInDK","DK_reference","accepted_count","total_count","accepted_count_before_atlas","accepted_count_during_atlas","accepted_count_after_atlas","last_accepted_record","first_accepted_record"
10073,"Agaricus devoniensis","P.D. Orton","champignon","VU","klit-champignon","sp.",TRUE,"H. Knudsen i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 209, 1992.",19,19,14,3,2,"2015-10-06T00:00:00.000Z","1969-00-00 00:00:00"
10090,"Agaricus moelleri","Wasser","champignon","VU","perlehøne-champignon","sp.",TRUE,"J.H. Petersen & C. Lange, Svampe 27: 16, 1993.",64,66,45,11,8,"2017-08-30T00:00:00.000Z","1939-00-00 00:00:00"
10094,"Agaricus phaeolepidotus","(F.H. Møller) F.H. Møller","champignon","VU","agerhøne-champignon","sp.",TRUE,"J.H. Petersen & C. Lange, Svampe 27: 18, 1993.",20,26,18,1,1,"2014-11-10T00:00:00.000Z","1946-00-00 00:00:00"
10097,"Agaricus porphyrizon","P.D. Orton","champignon","VU","purpur-champignon","sp.",TRUE,"H. Knudsen i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 214, 1992.Sec Weholt (& Para)  skal den hedde brunneolus",46,56,19,17,10,"2017-09-30T00:00:00.000Z","1977-10-21T00:00:00.000Z"
10126,"Agrocybe firma","(Peck) Singer","agerhatte m.fl.","EN","tobaksbrun agerhat","sp.",TRUE,"R. Watling, Nord. J. Bot, 3: 266-267, 1983.",15,15,12,3,0,"2013-09-12T00:00:00.000Z","1953-09-27T00:00:00.000Z"
10135,"Agrocybe vervacti","(Fr.) Singer","agerhatte m.fl.","EN","lav agerhat","sp.",TRUE,"S. Ryman i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 270, 1992.",29,32,18,5,6,"2017-08-05T00:00:00.000Z","1899-00-00 00:00:00"
10139,"Albatrellus ovinus","(Schaeff.) Kotl. & Pouzar","hatdannende poresvampe","RE","hvidlig fåreporesvamp","sp.",TRUE,"J. Vesterholt i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 265, 1997.",4,5,4,0,0,"1969-09-28T00:00:00.000Z","1912-09-08T00:00:00.000Z"
10140,"Scutiger pes-caprae","(Pers.) Bondartsev & Singer","hatdannende poresvampe","CR","skællet fåreporesvamp","sp.",TRUE,"L. Samsø, Svampe 42: 10, 2000.",26,26,15,7,4,"2017-09-15T00:00:00.000Z","1977-00-00 00:00:00"
67498,"Aleurocystidiellum disciforme","(DC.) Boidin, Terra & Lanq.","hatdannende barksvampe","CR","hvidlig skiveskorpe","sp.",TRUE,"J. Vesterholt  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 181, 1997.",30,30,17,10,3,"2016-06-26T00:00:00.000Z","0000-00-00 00:00:00"
10225,"Amanita ceciliae","(Berk. & Broome) Bas","fluesvamp","NT","stor kam-fluesvamp","sp.",TRUE,"O. Persson i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 197, 1992.",235,246,156,42,37,"2017-10-15T00:00:00.000Z","0000-00-00 00:00:00"
10227,"Amanita crocea","(Quél.) Singer","fluesvamp","NT","gylden kam-fluesvamp","sp.",TRUE,"O. Persson i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 197, 1992.",115,119,63,32,20,"2017-11-03T00:00:00.000Z","1922-08-25T00:00:00.000Z"
10229,"Amanita eliae","Quél.","fluesvamp","CR","isabella-fluesvamp","sp.",TRUE,"T. Brandt-Pedersen & K. Toft, Svampe 1: 8-9, 1980.",6,7,5,0,1,"2017-10-04T00:00:00.000Z","1965-10-10T00:00:00.000Z"
10232,"Amanita franchetii","(Boud.) Fayod","fluesvamp","NT","gulrandet fluesvamp","sp.",TRUE,"O. Persson i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 194, 1992.",58,59,39,6,13,"2017-09-08T00:00:00.000Z","1903-07-00 00:00:00"
10242,"Amanita lividopallescens","(Secr. ex Boud.) Kühner & Romagn.","fluesvamp","EN","afblegende kam-fluesvamp","sp.",TRUE,"",34,36,7,12,15,"2017-09-23T00:00:00.000Z","1994-09-05T00:00:00.000Z"
10264,"Amanita solitaria","Bull.","fluesvamp","EN","pigget fluesvamp","sp.",TRUE,"C. Lange & T. Læssøe, Svampe 22: 1, 1990.",26,26,23,3,0,"2013-09-28T00:00:00.000Z","1989-08-24T00:00:00.000Z"
10266,"Amanita strobiliformis","Gonn. & Rabenh.","fluesvamp","VU","flosset fluesvamp","sp.",TRUE,"Jens H. Petersen, Svampe 26: 22, 1992.",213,217,120,42,51,"2017-10-18T00:00:00.000Z","0000-00-00 00:00:00"
10289,"Amaurodon cyaneus","(Wakef.) Kõljalg & K.H. Larss.","resupinate glatte barksvampe","VU","","sp.",TRUE,"H. Knudsen & K. Hauerslev  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 299, 1997.",6,6,6,0,0,"2001-09-18T00:00:00.000Z","1964-00-00 00:00:00"
67497,"Anomoloma myceliosum","(Peck) Niemelä & K.H. Larss.","resupinate poresvampe","EN","fyrre-vatporesvamp","sp.",TRUE,"J. Vesterholt & J.H. Petersen, Svampe 16: 63, 1987.",8,9,6,0,2,"2014-11-02T00:00:00.000Z","1956-10-14T00:00:00.000Z"
10425,"Antrodia heteromorpha","(Fr.) Donk","hatdannende poresvampe","EN","grov sejporesvamp","sp.",TRUE,"M. Strandberg, Svampe 31: 10, 1995, angives fra DK af Ryvarden & Gilbertson, 1993.",7,8,6,1,0,"2010-03-21T00:00:00.000Z","1953-00-00 00:00:00"
10427,"Antrodia malicola","(Berk. & M.A. Curtis) Donk","hatdannende poresvampe","EN","brunlig sejporesvamp","sp.",TRUE,"J. Vesterholt  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 239, 1997; angives fra DK af Ryvarden & Gilbertson, 1993.",53,68,9,31,13,"2017-03-26T00:00:00.000Z","1984-00-00 00:00:00"
10523,"Armillaria ectypa","(Fr.) Lamoure","ridderhatte m.fl.","EN","ringløs honningsvamp","sp.",TRUE,"J. E. Lange, Dansk Bot. Arkiv 6 (5): 52. 1930.
P.B. Hansen, Svampe 47: 54, 2003.",16,17,10,3,3,"2016-07-10T00:00:00.000Z","1915-07-00 00:00:00"
10558,"Arrhenia lobata","(Pers.) Kühner & Lamoure ex Redhead","østershatlignende svampe (hvide sporer)","EN","siddende fontænehat","sp.",TRUE,"S.A. Elborne, Svampe 20: 92, 1989.",53,54,34,13,6,"2017-05-13T00:00:00.000Z","1857-00-00 00:00:00"
10920,"Athelidium aurantiacum","(M.P. Christ.) Oberw.","resupinate glatte barksvampe","EN","","sp.",TRUE,"W. Jülich, Willdenovia Beih. 7: 128, 1972.",11,11,11,0,0,"2005-10-21T00:00:00.000Z","1953-00-00 00:00:00"
10930,"Aurantiporus croceus","(Pers.) Murrill","hatdannende poresvampe","CR","safrangul fedtporesvamp","sp.",TRUE,"Buchwald  1974. Friesia 10: 323-326.
P.B. Hansen & J. Vesterholt, Svampe 43: 38, 2001.",40,40,19,13,8,"2017-01-25T00:00:00.000Z","1936-00-00 00:00:00"
10931,"Aurantiporus fissilis","(Berk. & M.A. Curtis) H. Jahn","hatdannende poresvampe","EN","sej fedtporesvamp","sp.",TRUE,"J. Vesterholt  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 225, 1997.",40,45,26,8,6,"2017-09-17T00:00:00.000Z","1897-00-00 00:00:00"
10933,"Aureoboletus gentilis","(Quél.) Pouzar","rørhatte m.fl.","VU","guldrørhat","sp.",TRUE,"H. Knudsen i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 67, 1992.",161,162,118,16,27,"2017-09-30T00:00:00.000Z","1926-00-00 00:00:00"
10978,"Bankera fuligineoalba","(J.C. Schmidt) Coker & Beers","pigsvampe på jord","EN","pjusket duftpigsvamp","sp.",TRUE,"M. Christensen, Svampe 27: 2, 1993.",69,69,65,3,1,"2014-09-10T00:00:00.000Z","0000-00-00 00:00:00"
10979,"Bankera violascens","(Alb. & Schwein.) Pouzar","pigsvampe på jord","CR","violetbrun duftpigsvamp","sp.",TRUE,"M. Christensen, Svampe 27: 3, 1993.",109,109,64,30,15,"2017-09-09T00:00:00.000Z","1894-10-07T00:00:00.000Z"
11059,"Boletopsis grisea","(Peck) Bondartsev & Singer","hatdannende poresvampe","RE","grå troldporesvamp","sp.",FALSE,"",0,5,0,0,0,,
11060,"Boletopsis leucomelaena","(Pers.) Fayod","hatdannende poresvampe","CR","sorthvid troldporesvamp","sp.",TRUE,"Å. Strid i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 309, 1997.",9,10,9,0,0,"2004-10-12T00:00:00.000Z","1930-00-00 00:00:00"
11061,"Boletus aereus","Secr.","rørhatte m.fl.","VU","bronze-rørhat","sp.",TRUE,"J. Vesterholt & P.B. Hansen, Svampe 42: 14, 2000.",157,171,120,9,28,"2017-10-07T00:00:00.000Z","0000-00-00 00:00:00"
11070,"Butyriboletus fechtneri","(Velen.) D. Arora & J.L. Frank","rørhatte m.fl.","EN","sølvskinnende rørhat","sp.",TRUE,"H. Knudsen i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 59, 1992.",35,45,20,6,9,"2016-09-24T00:00:00.000Z","1932-00-00 00:00:00"
11073,"Hemileccinum impolitum","(Fr.) Šutara","rørhatte m.fl.","EN","bleg rørhat","sp.",TRUE,"H. Knudsen i L. Hansen & H. Knudsen, Nordic Macromycetes 2: 61, 1992.",101,112,82,6,13,"2017-07-21T00:00:00.000Z","1917-00-00 00:00:00"
65785,"Rubroboletus legaliae","(Pilát & Dermek) Della Maggiora & Trassin.","rørhatte m.fl.","EN","djævle-rørhat","sp.",TRUE,"J. Vesterholt & M. Holm, Svampe 45: 6, 2002.",83,91,65,8,10,"2017-09-24T00:00:00.000Z","0000-00-00 00:00:00"
65746,"Suillellus queletii","(Schulzer) Vizzini, Simonini & Gelardi","rørhatte m.fl.","VU","glatstokket indigo-rørhat","sp.",TRUE,"J. Vesterholt & M. Holm, Svampe 45: 4, 2002.",189,209,134,21,34,"2017-10-18T00:00:00.000Z","1924-00-00 00:00:00"
65783,"Rubroboletus satanas","(Lenz) Kuan Zhao & Zhu L. Yang","rørhatte m.fl.","VU","Satans rørhat","sp.",TRUE,"J. Vesterholt & M. Holm, Svampe 45: 4, 2002.",271,276,199,40,32,"2017-10-07T00:00:00.000Z","0000-00-00 00:00:00"
11112,"Botryobasidium intertextum","(Schwein.) Jülich & Stalpers","resupinate glatte barksvampe","NT","tensporet frynsehinde","sp.",TRUE,"J. Vesterholt  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 119, 1997.",10,10,2,3,5,"2017-06-11T00:00:00.000Z","1965-00-00 00:00:00"
11202,"Buglossoporus quercinus","(Schrad.) Kotl. & Pouzar","hatdannende poresvampe","EN","egetunge","sp.",TRUE,"Buchwald 1974. Friesia 10: 323-326.
J. Vesterholt  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 232, 1997.",162,170,70,56,36,"2017-08-24T00:00:00.000Z","1926-00-00 00:00:00"
11232,"Calocera glossoides","(Pers.) Fr.","tåresvampordenen","VU","kølle-guldgaffel","sp.",TRUE,"H. Mathiesen, Svampe 25: 38, 1992.",22,22,20,2,0,"2009-06-16T00:00:00.000Z","1974-04-06T00:00:00.000Z"
66646,"Hodophilus atropunctus","(Pers.) R. Heim","vokshatte m. fl.","EN","punktstokket vokshat","sp.",TRUE,"FAD; P. Printz & T. Læssøe, Svampe 14: 87, 1986.",37,39,29,6,2,"2014-09-24T00:00:00.000Z","1934-00-00 00:00:00"
66739,"Hodophilus foetens","(W. Phillips) R. Heim","vokshatte m. fl.","NT","latrin-vokshat","sp.",TRUE,"FAD; P. Printz & T. Læssøe, Svampe 14: 87, 1986.",129,132,104,17,8,"2017-10-18T00:00:00.000Z","1908-00-00 00:00:00"
66740,"Hodophilus hymenocephalus","(A.H. Sm. & Hesler) R. Heim","vokshatte m. fl.","VU","krat-vokshat","sp.",TRUE,"P. Printz & T. Læssøe, Svampe 14: 88, 1986.",62,63,48,10,4,"2015-10-17T00:00:00.000Z","1946-00-00 00:00:00"
67822,"Hodophilus micaceus","(Berk. & Broome) Birkebak & Adamčík","vokshatte m. fl.","EN","brungul vokshat","sp.",TRUE,"P. Printz & T. Læssøe, Svampe 14: 88-90, 1986.",22,22,17,3,2,"2014-11-19T00:00:00.000Z","1971-00-00 00:00:00"
11291,"Camarophyllopsis schulzeri","(Bres.) Herink","vokshatte m. fl.","NT","tyndbladet vokshat","sp.",TRUE,"Lange, M. 1954. Bot. Tidsskr. 50(2): 175-179; P. Printz & T. Læssøe, Svampe 14: 87-88, 1986.",267,272,216,19,32,"2017-11-02T00:00:00.000Z","0000-00-00 00:00:00"
11297,"Camarops tubulina","(Alb. & Schwein.) Shear","kernesvampe (Sordariomycetidae) mfl.","NT","knudret kulsnegl","sp.",TRUE,"H. Dissing  i L. Hansen & H. Knudsen, Nordic Macromycetes 1: 236, 2000.",144,146,118,18,8,"2017-04-05T00:00:00.000Z","1978-00-00 00:00:00"
11318,"Craterellus cinereus","(Fr.) Quél.","kantareller m.fl.; kantarelagtige svampe","VU","grå kantarel","sp.",TRUE,"H. Knudsen, O. Persson & E. Bille Hansen  i L. Hansen & H. Knudsen, Nordic Macromycetes 3: 262, 1997.",225,230,159,42,24,"2017-10-30T00:00:00.000Z","1891-00-00 00:00:00"
11324,"Craterellus melanoxeros","(Desm.) Pérez-De-Greg.","kantareller m.fl.; kantarelagtige svampe","VU","sværtende kantarel","sp.",TRUE,"C. Lange, Svampe 38: 3-6, 1998.",24,27,6,9,9,"2017-10-02T00:00:00.000Z","1987-00-00 00:00:00"
