Genus	OTU	Fruitbody total	Soil frb.	Non-soil frb.
Agaricus	8 (1 %)	12 (1 %)	12 (2 %)	-
Agrocybe	5 (0 %)	4 (0 %)	4 (1 %)	-
Alboleptonia	2 (0 %)	-	-	-
Alnicola	3 (0 %)	-	-	-
Amanita	17 (1 %)	12 (1 %)	12 (2 %)	-
Ampulloclitocybe	1 (0 %)	1 (0 %)	1 (0 %)	-
Aphanobasidium	1 (0 %)	3 (0 %)	-	3 (2 %)
Apioperdon	1 (0 %)	-	-	-
Armillaria	-	3 (0 %)	3 (0 %)	-
Arrhenia	3 (0 %)	7 (1 %)	7 (1 %)	-
Aspropaxillus	1 (0 %)	1 (0 %)	1 (0 %)	-
Asterophora	-	2 (0 %)	2 (0 %)	-
Atheniella	4 (0 %)	2 (0 %)	2 (0 %)	-
Baeospora	-	1 (0 %)	1 (0 %)	-
Bolbitius	1 (0 %)	2 (0 %)	2 (0 %)	-
Bovista	2 (0 %)	4 (0 %)	4 (1 %)	-
Calocybe	1 (0 %)	1 (0 %)	1 (0 %)	-
Calyptella	3 (0 %)	4 (0 %)	-	4 (3 %)
Camarophyllopsis	4 (0 %)	2 (0 %)	2 (0 %)	-
Cellypha	1 (0 %)	1 (0 %)	-	1 (1 %)
Cephaloscypha	-	1 (0 %)	-	1 (1 %)
Chlorophyllum	1 (0 %)	2 (0 %)	2 (0 %)	-
Chondrostereum	-	1 (0 %)	-	1 (1 %)
Chromocyphella	1 (0 %)	1 (0 %)	-	1 (1 %)
Clavaria	64 (4 %)	9 (1 %)	9 (1 %)	-
Clavulinopsis	30 (2 %)	6 (1 %)	6 (1 %)	-
Clitocella	-	1 (0 %)	1 (0 %)	-
Clitocybe	7 (0 %)	14 (2 %)	14 (2 %)	-
Clitocybula	1 (0 %)	-	-	-
Clitopilus	14 (1 %)	3 (0 %)	3 (0 %)	-
Collybia	1 (0 %)	3 (0 %)	3 (0 %)	-
Conocybe	21 (1 %)	21 (2 %)	21 (3 %)	-
Coprinellus	17 (1 %)	14 (2 %)	14 (2 %)	-
Coprinopsis	33 (2 %)	31 (4 %)	31 (4 %)	-
Coprinus	1 (0 %)	-	-	-
Cortinarius	160 (11 %)	42 (5 %)	42 (6 %)	-
Crepidotus	9 (1 %)	7 (1 %)	-	7 (5 %)
Crinipellis	1 (0 %)	1 (0 %)	1 (0 %)	-
Cristinia	1 (0 %)	3 (0 %)	3 (0 %)	-
Cuphophyllus	11 (1 %)	7 (1 %)	7 (1 %)	-
Cyathus	1 (0 %)	1 (0 %)	1 (0 %)	-
Cyclocybe	1 (0 %)	-	-	-
Cylindrobasidium	1 (0 %)	1 (0 %)	-	1 (1 %)
Cystoderma	5 (0 %)	3 (0 %)	3 (0 %)	-
Cystodermella	-	1 (0 %)	1 (0 %)	-
Cystolepiota	2 (0 %)	2 (0 %)	2 (0 %)	-
Deconica	13 (1 %)	9 (1 %)	6 (1 %)	3 (2 %)
Delicatula	1 (0 %)	1 (0 %)	1 (0 %)	-
Dermoloma	6 (0 %)	2 (0 %)	2 (0 %)	-
Disciseda	-	1 (0 %)	1 (0 %)	-
Entocybe	2 (0 %)	-	-	-
Entoloma	85 (6 %)	79 (9 %)	79 (11 %)	-
Eonema	-	1 (0 %)	-	1 (1 %)
Episphaeria	-	1 (0 %)	-	1 (1 %)
Fayodia	2 (0 %)	1 (0 %)	1 (0 %)	-
Fistulina	-	1 (0 %)	-	1 (1 %)
Flagelloscypha	7 (0 %)	6 (1 %)	-	6 (4 %)
Flammula	-	2 (0 %)	-	2 (1 %)
Flammulaster	1 (0 %)	4 (0 %)	3 (0 %)	1 (1 %)
Flammulina	-	2 (0 %)	-	2 (1 %)
Galerina	27 (2 %)	27 (3 %)	25 (4 %)	2 (1 %)
Gliophorus	10 (1 %)	3 (0 %)	3 (0 %)	-
Globulicium	-	1 (0 %)	-	1 (1 %)
Gloiocephala	-	1 (0 %)	-	1 (1 %)
Gloioxanthomyces	1 (0 %)	1 (0 %)	1 (0 %)	-
Gymnopilus	5 (0 %)	3 (0 %)	2 (0 %)	1 (1 %)
Gymnopus	7 (0 %)	15 (2 %)	13 (2 %)	2 (1 %)
Hebeloma	17 (1 %)	18 (2 %)	18 (3 %)	-
Hemimycena	8 (1 %)	13 (2 %)	5 (1 %)	8 (6 %)
Henningsomyces	-	2 (0 %)	-	2 (1 %)
Hodophilus	7 (0 %)	2 (0 %)	2 (0 %)	-
Hohenbuehelia	1 (0 %)	6 (1 %)	2 (0 %)	4 (3 %)
Homophron	1 (0 %)	1 (0 %)	1 (0 %)	-
Hydropus	1 (0 %)	2 (0 %)	2 (0 %)	-
Hygrocybe	45 (3 %)	18 (2 %)	18 (3 %)	-
Hygrophorus	8 (1 %)	5 (1 %)	5 (1 %)	-
Hymenogaster	10 (1 %)	1 (0 %)	1 (0 %)	-
Hymenopellis	1 (0 %)	1 (0 %)	1 (0 %)	-
Hyphodontiella	4 (0 %)	1 (0 %)	-	1 (1 %)
Hypholoma	7 (0 %)	7 (1 %)	5 (1 %)	2 (1 %)
Hypsizygus	1 (0 %)	-	-	-
Infundibulicybe	1 (0 %)	1 (0 %)	1 (0 %)	-
Inocybe	141 (10 %)	41 (5 %)	41 (6 %)	-
Kuehneromyces	1 (0 %)	1 (0 %)	-	1 (1 %)
Laccaria	10 (1 %)	6 (1 %)	6 (1 %)	-
Lachnella	-	2 (0 %)	-	2 (1 %)
Lacrymaria	3 (0 %)	2 (0 %)	2 (0 %)	-
